Angle,No Filter,Zr,Mo,Ag,,Transmittance,Zr,Mo,Ag,,K edges,Zr,Mo,Ag
3.7,174.4,102.4,30.8,47.6,,,0.587155963,0.176605505,0.27293578,,,68.7 pm 1.0,61.9 pm 0.8,49.6 pm  0.6
3.8,207.2,122.6,34.4,54.2,,,0.591698842,0.166023166,0.261583012,,,,,
3.9,273.8,146.6,39.2,63.6,,,0.535427319,0.143170197,0.23228634,,,,,
4,314.2,163.4,34,78.8,,,0.520050923,0.10821133,0.250795672,,,,,
4.1,373.8,192.4,38.8,79.8,,,0.514713751,0.103798823,0.213483146,,,,,
4.2,389.8,183.6,37.8,72.2,,,0.471010775,0.096972807,0.185223191,,,,,
4.3,427.6,203.2,39,76.6,,,0.475210477,0.091206735,0.179139383,,,,,
4.4,443.6,196.4,29.6,82,,,0.442741208,0.066726781,0.184851217,,,,,
4.5,449.8,206,28.8,74.6,,,0.457981325,0.064028457,0.16585149,,,,,
4.6,432.8,177.8,26.4,65.4,,,0.410813309,0.060998152,0.151109057,,,,,
4.7,451.4,175.6,23.2,61.8,,,0.389011963,0.051395658,0.136907399,,,,,
4.8,456.2,162,19.6,60.4,,,0.355107409,0.042963612,0.132398071,,,,,
4.9,457.2,159.2,15.4,58.8,,,0.348206474,0.03368329,0.128608924,,,,,
5,410,134.2,14.6,71,,,0.327317073,0.035609756,0.173170732,,,,,
5.1,425.8,130.2,17.2,139,,,0.30577736,0.040394551,0.32644434,,,,,
5.2,394.6,107.8,11.4,201.2,,,0.273188039,0.028890015,0.509883426,,,,,
5.3,380.8,105.2,9.2,202,,,0.276260504,0.024159664,0.530462185,,,,,
5.4,353.4,96.4,6.6,170,,,0.272778721,0.018675722,0.481041313,,,,,
5.5,375.8,94.2,8.8,173,,,0.250665247,0.023416711,0.460351251,,,,,
5.6,352.4,86.2,10,169.4,,,0.2446084,0.028376844,0.480703746,,,,,
5.7,331,73.4,9.2,148.8,,,0.221752266,0.027794562,0.449546828,,,,,
5.8,307.6,59.4,8,129.4,,,0.193107932,0.026007802,0.420676203,,,,,
5.9,309,57,8,131.2,,,0.184466019,0.025889968,0.424595469,,,,,
6,294,56,8.2,120,,,0.19047619,0.027891156,0.408163265,,,,,
6.1,284.2,52,9.8,119.4,,,0.18296974,0.034482759,0.420126671,,,,,
6.2,275,46.8,11,97.8,,,0.170181818,0.04,0.355636364,,,,,
6.3,302.6,47.4,15,112.2,,,0.156642432,0.04957039,0.370786517,,,,,
6.4,348.4,52.2,35.8,127,,,0.149827784,0.102755454,0.364523536,,,,,
6.5,588.8,70.4,117.6,203.8,,,0.119565217,0.199728261,0.346127717,,,,,
6.6,713.8,94.8,186.8,260.8,,,0.132810311,0.261697955,0.365368451,,,,,
6.7,538.2,84.4,144.4,193.6,,,0.156819026,0.268301747,0.359717577,,,,,
6.8,297,53.2,58.4,90.8,,,0.179124579,0.196632997,0.305723906,,,,,
6.9,268.6,40,55.2,83,,,0.148920328,0.205510052,0.30900968,,,,,
7,270,55.8,49,79.6,,,0.206666667,0.181481481,0.294814815,,,,,
7.1,318.8,95.4,55.8,92.2,,,0.299247177,0.175031368,0.289209536,,,,,
7.2,455,196.6,63.2,104.8,,,0.432087912,0.138901099,0.23032967,,,,,
7.3,1008.8,562,148.8,234,,,0.557097542,0.147501983,0.231958763,,,,,
7.4,1683.4,1023.6,306.8,495.4,,,0.608055127,0.182250208,0.294285375,,,,,
7.5,1335.2,855,241,417.6,,,0.640353505,0.180497304,0.312762133,,,,,
